id,pnode
SL.UEM.TOTL.ZS,P1198
NY.GDP.MKTP.CD,P2131
BN.CAB.XOKA.CD,P2294
FI.RES.TOTL.CD,P2134
NY.GDP.PCAP.CD,P2132
FP.CPI.TOTL.ZG,P1279
SP.POP.TOTL,P1082
GC.DOD.TOTL.GD.ZS,P1689
NY.GDP.MKTP.PP.CD,P4010
SI.POV.GINI,P1125
NY.GDP.PCAP.PP.CD,P2299
NY.GDP.MKTP.KD.ZG,P2219
BX.KLT.DINV.CD.WD,P2141
BM.KLT.DINV.WD.GD.ZS,P2140
